Number of Bus,Name of Bus,ID,Status,Gen MW,Gen Mvar,Min MW,Max MW,AGC,# Cost Curve Points,IOB,IOC,Variable O&M,Fuel Cost,IOD,AVR,RegBus Num,Fuel Type,Set Volt,Min Mvar,Max Mvar,Enforce MW Limits,Part. Factor,Cost Model
111365,WHARTON 3 4,1,Closed,84.54,-0.05,33.19,98,YES,5,8.34,0.0014,4.5,2.89,0,YES,111365,NG (Natural Gas),1.04,-24.97,49.88,YES,98,Piecewise Linear
111366,WHARTON 3 5,1,Closed,62.11,-0.03,8.33,72,YES,5,8.45,0.0004,4.5,2.953,0,YES,111366,NG (Natural Gas),1.04,-24.55,36.65,YES,72,Piecewise Linear
111367,WHARTON 3 6,1,Closed,62.11,-0.07,25.74,72,YES,5,8.46,0.0003,4.5,3.162,0,YES,111367,NG (Natural Gas),1.04,-22.87,36.65,YES,72,Piecewise Linear
111368,WHARTON 3 7,1,Closed,62.11,-0.03,13.5,72,YES,5,8.46,0.0003,4.5,3.049,0,YES,111368,NG (Natural Gas),1.04,-18.19,36.65,YES,72,Piecewise Linear
111369,WHARTON 3 8,1,Closed,32.95,-0.09,10.13,72,YES,5,8.4,0.0011,4.5,3.432,0,YES,111369,NG (Natural Gas),1.04,-20.12,36.65,YES,72,Piecewise Linear
111372,BAYTOWN 14 3,1,Closed,148.37,85.65,74.41,172,YES,5,7.14,0.0022,4.5,3.118,0,YES,111370,NG (Natural Gas),1.04,-59.49,87.55,YES,172,Piecewise Linear
111373,BAYTOWN 14 4,1,Closed,142.33,-0.24,22.41,165,YES,5,7.27,0.0015,4.5,2.967,0,YES,111373,NG (Natural Gas),1.04,-46.18,83.99,YES,165,Piecewise Linear
111374,BAYTOWN 14 5,1,Closed,119.1,-0.89,66.8,165,YES,5,7.17,0.0021,4.5,3.306,0,YES,111374,NG (Natural Gas),1.04,-56.58,83.99,YES,165,Piecewise Linear
111376,MONT BELVIEU 5 2,1,Open,0,0,2.28,12.3,YES,5,5.44,0.0017,5,2.998,0,YES,111376,NG (Natural Gas),1.04,-4.3,6.26,YES,12.3,Piecewise Linear
111378,HOUSTON 50 2,1,Closed,41.41,24.43,6.91,48,YES,5,5.44,0.0007,5,3.409,0,YES,111378,NG (Natural Gas),1.04,-15.32,24.43,YES,48,Piecewise Linear
111382,THOMPSONS 8 2,1,Closed,63.83,37.67,12.81,74,YES,5,19.67,0.0026,5,3.006,0,YES,111382,NG (Natural Gas),1.04,-25.1,37.67,YES,74,Piecewise Linear
111384,GALENA PARK 23 2,1,Open,0,0,4.91,14,YES,5,9.22,0.001,3,3,0,YES,111384,WH (Waste Heat),1.04,-4.78,6.81,YES,14,Piecewise Linear
111386,FREEPORT 3 2,1,Closed,54.82,35.63,32.63,70,YES,5,8.59,0.0006,0,3.314,0,YES,111386,NG (Natural Gas),1.04,-18.52,35.63,YES,70,Piecewise Linear
111390,WHARTON 4 2,1,Closed,407.59,14.18,220.95,472.5,YES,5,8.05,0.0006,4.5,3.134,0,YES,111389,NG (Natural Gas),1.04,-150.94,240.5,YES,472.5,Piecewise Linear
111391,WHARTON 4 3,1,Closed,156.62,14.18,51.41,331.9,YES,5,8.47,0.001,4.5,3.26,0,YES,111389,NG (Natural Gas),1.04,-87.16,168.94,YES,331.9,Piecewise Linear
111392,WHARTON 4 4,1,Closed,289.24,14.18,156.21,335.3,YES,5,7.94,0.0011,4.5,3.034,0,YES,111389,NG (Natural Gas),1.04,-111.17,170.67,YES,335.3,Piecewise Linear
111395,BACLIFF 3 3,1,Closed,24.4,4.25,7.28,54,YES,5,9.05,0.001,0,3.093,0,YES,111395,NG (Natural Gas),1.04,-14.83,27.49,YES,54,Piecewise Linear
111396,BACLIFF 3 4,1,Closed,46.58,6.88,10.18,54,YES,5,8.13,0.001,0,2.874,0,YES,111396,NG (Natural Gas),1.04,-17.42,27.49,YES,54,Piecewise Linear
111397,BACLIFF 3 5,1,Closed,46.58,6.6,19.57,54,YES,5,8.59,0.0018,0,2.931,0,YES,111397,NG (Natural Gas),1.04,-13.9,27.49,YES,54,Piecewise Linear
111398,BACLIFF 3 6,1,Closed,46.58,3.9,24.34,54,YES,5,8.62,0.0023,0,2.996,0,YES,111398,NG (Natural Gas),1.04,-16.97,27.49,YES,54,Piecewise Linear
111399,BACLIFF 3 7,1,Closed,32.11,8.86,14.99,54,YES,5,8.46,0.003,0,3.446,0,YES,111399,NG (Natural Gas),1.04,-14.33,27.49,YES,54,Piecewise Linear
111400,BACLIFF 3 8,1,Closed,46.58,8.37,18.36,54,YES,5,8.34,0.001,0,3.095,0,YES,111400,NG (Natural Gas),1.04,-15.98,27.49,YES,54,Piecewise Linear
111402,CROSBY 6 2,1,Closed,38.82,22.9,13.77,45,YES,5,8.41,0.0003,5,3.242,0,YES,111402,NG (Natural Gas),1.04,-14.15,22.9,YES,45,Piecewise Linear
111402,CROSBY 6 2,2,Closed,38.82,22.9,10.04,45,YES,5,8.38,0.0022,5,2.989,0,YES,111402,NG (Natural Gas),1.04,-13.82,22.9,YES,45,Piecewise Linear
111404,BELLAIRE 43 2,1,Closed,100.93,49.09,41.9,117,YES,5,8.02,0.0007,0,3.221,0,YES,111403,NG (Natural Gas),1.02,-31.47,59.55,YES,117,Piecewise Linear
111408,WALLIS 2 2,1,Open,0,0,1.83,10,YES,5,8.51,0.005,0,1,0,YES,111408,SUN (Solar),1.04,-2.79,3.25,YES,10,Piecewise Linear
111410,ORCHARD 2 2,1,Open,0,0,3.8,10,YES,5,3.38,0.005,0,1,0,YES,111410,SUN (Solar),1.04,-2.98,4.49,YES,10,Piecewise Linear
111412,LANE CITY 3 2,1,Open,0,0,2.08,10,YES,5,2.78,0.005,0,1,0,YES,111412,SUN (Solar),1.04,-2.9,3.76,YES,10,Piecewise Linear
120434,LACKLAND A F B 20 2,1,Closed,19.18,9.19,4.6,46,YES,5,11.97,0.0023,5,3.446,0,YES,120434,NG (Natural Gas),1.04,-12.55,23.41,YES,46,Piecewise Linear
120434,LACKLAND A F B 20 2,2,Closed,21.92,9.19,7.34,46,YES,5,12.01,0.0015,5,3.304,0,YES,120434,NG (Natural Gas),1.04,-14.08,23.41,YES,46,Piecewise Linear
120435,LACKLAND A F B 20 3,1,Open,0,0,9.75,46,YES,5,12.07,0.001,5,2.93,0,YES,120435,NG (Natural Gas),1.04,-12.34,23.41,YES,46,Piecewise Linear
120436,LACKLAND A F B 20 4,1,Closed,39.68,21.69,7.55,46,YES,5,11.98,0.0021,5,2.869,0,YES,120436,NG (Natural Gas),1.04,-12.46,23.41,YES,46,Piecewise Linear
120438,ADKINS 6 2,1,Closed,317.64,22.21,184.51,420,YES,5,13.31,0.003,4,3.223,0,YES,120437,NG (Natural Gas),1.04,-117.09,213.78,YES,420,Piecewise Linear
120439,ADKINS 6 3,1,Closed,353.68,22.21,112.96,410,YES,5,11.89,0.0015,4,3.073,0,YES,120437,NG (Natural Gas),1.04,-111.76,208.69,YES,410,Piecewise Linear
120442,ELMENDORF 11 3,1,Closed,27.36,-0.35,12.14,48,YES,5,11.52,0.0008,5,3.418,0,YES,120442,NG (Natural Gas),1.04,-12.72,24.43,YES,48,Piecewise Linear
120442,ELMENDORF 11 3,2,Closed,29.11,-0.35,13.89,48,YES,5,11.48,0.0016,5,3.29,0,YES,120442,NG (Natural Gas),1.04,-13.25,24.43,YES,48,Piecewise Linear
120443,ELMENDORF 11 4,1,Closed,41.41,-0.16,17.18,48,YES,5,11.45,0.0022,5,2.889,0,YES,120443,NG (Natural Gas),1.04,-13.12,24.43,YES,48,Piecewise Linear
120443,ELMENDORF 11 4,2,Closed,40.54,-0.16,17.96,47,YES,5,11.48,0.0015,5,3.237,0,YES,120443,NG (Natural Gas),1.04,-14.97,23.92,YES,47,Piecewise Linear
120444,ELMENDORF 11 5,1,Closed,258.86,-30.92,57.33,412,YES,5,10.91,0.0027,4,3.27,0,YES,120440,NG (Natural Gas),1.04,-105.73,209.71,YES,412,Piecewise Linear
120445,ELMENDORF 11 6,1,Closed,156.57,-0.28,83.66,230,YES,5,11.42,0.0023,4,3.316,0,YES,120445,NG (Natural Gas),1.04,-74.42,117.07,YES,230,Piecewise Linear
120446,ELMENDORF 11 7,1,Closed,117.6,-30.92,48.81,217,YES,5,11.74,0.0007,4,3.154,0,YES,120440,NG (Natural Gas),1.04,-55.78,110.45,YES,217,Piecewise Linear
120449,PEARSALL 6 3,1,Closed,7.25,0.03,2.73,8.4,YES,5,9.45,0.0015,6,2.872,0,YES,120449,NG (Natural Gas),1.04,-2.89,4.28,YES,8.4,Piecewise Linear
120449,PEARSALL 6 3,2,Closed,6.64,0.03,3.98,8.4,YES,5,9.45,0.002,6,3.524,0,YES,120449,NG (Natural Gas),1.04,-2.86,4.28,YES,8.4,Piecewise Linear
120450,PEARSALL 6 4,1,Closed,6.29,-2.26,3.63,8.4,YES,5,9.45,0.002,6,3.176,0,YES,120450,NG (Natural Gas),1.04,-2.65,4.28,YES,8.4,Piecewise Linear
120450,PEARSALL 6 4,2,Closed,7.25,-2.26,4.14,8.4,YES,5,9.45,0.002,6,3.08,0,YES,120450,NG (Natural Gas),1.04,-2.58,4.28,YES,8.4,Piecewise Linear
120451,PEARSALL 6 5,1,Open,0,0,3.44,8.4,YES,5,9.45,0.002,6,3.369,0,YES,120451,NG (Natural Gas),1.04,-2.18,4.28,YES,8.4,Piecewise Linear
120451,PEARSALL 6 5,2,Closed,7.25,0.3,1.32,8.4,YES,5,9.44,0.0029,6,3.07,0,YES,120451,NG (Natural Gas),1.04,-2.88,4.28,YES,8.4,Piecewise Linear
120452,PEARSALL 6 6,1,Closed,7.25,0.14,2.6,8.4,YES,5,9.44,0.0024,6,3.078,0,YES,120452,NG (Natural Gas),1.04,-2.72,4.28,YES,8.4,Piecewise Linear
120452,PEARSALL 6 6,2,Open,0,0,2.89,8.4,YES,5,9.45,0.002,6,3.335,0,YES,120452,NG (Natural Gas),1.04,-2.86,4.28,YES,8.4,Piecewise Linear
120453,PEARSALL 6 7,1,Closed,7.25,0.23,3.04,8.4,YES,5,9.45,0.002,6,3.308,0,YES,120453,NG (Natural Gas),1.04,-2.31,4.28,YES,8.4,Piecewise Linear
120454,PEARSALL 6 8,1,Closed,7.25,-2.26,2.48,8.4,YES,5,9.44,0.0027,6,3.106,0,YES,120454,NG (Natural Gas),1.04,-2.26,4.28,YES,8.4,Piecewise Linear
120454,PEARSALL 6 8,2,Closed,7.25,-2.47,1.26,8.4,YES,5,9.45,0.0021,6,2.95,0,YES,120454,NG (Natural Gas),1.04,-2.47,4.28,YES,8.4,Piecewise Linear
120455,PEARSALL 6 9,1,Closed,4.85,0.09,2.19,8.4,YES,5,9.45,0.001,6,3.363,0,YES,120455,NG (Natural Gas),1.04,-2.57,4.28,YES,8.4,Piecewise Linear
120455,PEARSALL 6 9,2,Closed,7.25,0.09,4.13,8.4,YES,5,9.45,0.002,6,3.28,0,YES,120455,NG (Natural Gas),1.04,-2.7,4.28,YES,8.4,Piecewise Linear
120456,PEARSALL 6 10,1,Closed,7.25,-2.88,1.47,8.4,YES,5,9.45,0.002,6,3.163,0,YES,120456,NG (Natural Gas),1.04,-2.88,4.28,YES,8.4,Piecewise Linear
120456,PEARSALL 6 10,2,Closed,6.02,-2.45,3.36,8.4,YES,5,9.45,0.002,6,3.279,0,YES,120456,NG (Natural Gas),1.04,-2.45,4.28,YES,8.4,Piecewise Linear
120457,PEARSALL 6 11,1,Closed,7.25,0.12,1.35,8.4,YES,5,9.45,0.002,6,2.78,0,YES,120457,NG (Natural Gas),1.04,-2.1,4.28,YES,8.4,Piecewise Linear
120457,PEARSALL 6 11,2,Closed,7.25,0.12,2.04,8.4,YES,5,9.45,0.002,6,3.179,0,YES,120457,NG (Natural Gas),1.04,-2.31,4.28,YES,8.4,Piecewise Linear
120458,PEARSALL 6 12,1,Closed,7.25,-1.86,3.46,8.4,YES,5,9.45,0.002,6,2.986,0,YES,120458,NG (Natural Gas),1.04,-2.41,4.28,YES,8.4,Piecewise Linear
120458,PEARSALL 6 12,2,Closed,4,-1.86,1.34,8.4,YES,5,9.45,0.002,6,3.182,0,YES,120458,NG (Natural Gas),1.04,-2.84,4.28,YES,8.4,Piecewise Linear
120459,PEARSALL 6 13,1,Closed,4.37,-2.32,1.71,8.4,YES,5,9.45,0.0018,6,3.364,0,YES,120459,NG (Natural Gas),1.04,-2.32,4.28,YES,8.4,Piecewise Linear
120459,PEARSALL 6 13,2,Closed,5.94,-2.52,3.28,8.4,YES,5,9.45,0.002,6,3.251,0,YES,120459,NG (Natural Gas),1.04,-2.52,4.28,YES,8.4,Piecewise Linear
120460,PEARSALL 6 14,1,Closed,6.78,0.05,4.12,8.4,YES,5,9.45,0.002,6,3.399,0,YES,120460,NG (Natural Gas),1.04,-2.85,4.28,YES,8.4,Piecewise Linear
120460,PEARSALL 6 14,2,Closed,5.39,0.05,2.73,8.4,YES,5,9.45,0.002,6,3.492,0,YES,120460,NG (Natural Gas),1.04,-2.13,4.28,YES,8.4,Piecewise Linear
120461,PEARSALL 6 15,1,Closed,3.68,-2.16,1.02,8.4,YES,5,9.45,0.0016,6,3.618,0,YES,120461,NG (Natural Gas),1.04,-2.16,4.28,YES,8.4,Piecewise Linear
120463,ADKINS 7 2,1,Closed,362.3,22.21,108.51,420,YES,5,11.9,0.0004,3,1.7,0,YES,120462,SUB (Subbituminous Coal),1.04,-105.54,195.72,YES,420,Piecewise Linear
120464,ADKINS 7 3,1,Open,0,0,201.97,420,YES,5,12.02,0.0007,3,1.7,0,YES,120462,SUB (Subbituminous Coal),1.04,-110.87,195.72,YES,420,Piecewise Linear
120467,CHRISTINE 4 2,1,Closed,337.29,-63.48,136.06,391,YES,5,12.9,0.0004,3,1.6,0,YES,120466,LIG (Lignite Coal),1.042,-111.75,182.21,YES,391,Piecewise Linear
120469,ADKINS 8 2,1,Closed,677.16,-9.12,205.15,785,YES,5,9.47,0.0013,3,1.7,0,YES,120468,SUB (Subbituminous Coal),1.04,-198.8,365.81,YES,785,Piecewise Linear
120470,ADKINS 8 3,1,Closed,483.07,-9.12,237.11,560,YES,5,10.2,0.002,3,1.7,0,YES,120468,SUB (Subbituminous Coal),1.04,-179.17,260.96,YES,560,Piecewise Linear
120472,ELMENDORF 12 2,1,Closed,163.9,-1.93,83.8,190,YES,5,8.27,0.0016,4.5,3.142,0,YES,120472,NG (Natural Gas),1.04,-57.49,96.71,YES,190,Piecewise Linear
120473,ELMENDORF 12 3,1,Closed,135.98,-30.92,30.66,164,YES,5,7.8,0.0025,4.5,3.326,0,YES,120471,NG (Natural Gas),1.04,-51.26,83.48,YES,164,Piecewise Linear
120474,ELMENDORF 12 4,1,Closed,141.47,-1.77,75.59,164,YES,5,8.26,0.0028,4.5,2.886,0,YES,120474,NG (Natural Gas),1.04,-46.84,83.48,YES,164,Piecewise Linear
120490,ELMENDORF 13 2,1,Closed,11.65,6.24,3.91,13.5,YES,5,6.51,0.004,0,1,0,YES,120490,SUN (Solar),1.04,-4.6,6.24,YES,13.5,Piecewise Linear
120493,BRACKETTVILLE 4 2,1,Closed,86.09,-28.31,20.75,99.8,YES,5,3.7,0.001,0,1,0,YES,120493,WND (Wind),1.04,-34.84,46.15,YES,99.8,Piecewise Linear
120498,ELMENDORF 14 2,1,Closed,8.54,3.33,1.22,9.9,YES,5,5.61,0.004,0,1,0,YES,120498,SUN (Solar),1.04,-2.48,3.33,YES,9.9,Piecewise Linear
120500,ELMENDORF 15 2,1,Closed,8.54,3.5,3.02,9.9,YES,5,4.12,0.005,0,1,0,YES,120500,SUN (Solar),1.04,-3.24,3.5,YES,9.9,Piecewise Linear
120503,ELMENDORF 16 3,2,Closed,35.11,16.83,4.92,40.7,YES,5,8.96,0.001,0,1,0,YES,120503,SUN (Solar),1.04,-10.34,17.1,YES,40.7,Piecewise Linear
120507,BRACKETTVILLE 5 2,1,Closed,34.16,-11.44,8.22,39.6,YES,5,7.13,0.001,0,1,0,YES,120507,SUN (Solar),1.04,-11.73,18.04,YES,39.6,Piecewise Linear
120512,KNIPPA 4 2,1,Closed,86.26,-10.1,32.82,100,YES,5,7.74,0.001,0,1,0,YES,120512,SUN (Solar),1.04,-25.81,37.78,YES,100,Piecewise Linear
120524,LACKLAND A F B 23 2,1,Closed,4.56,3.37,1.39,10,YES,5,8,0.001,5,9.7,0,YES,120524,OTH (Other),1.04,-3.09,3.37,YES,10,Piecewise Linear
130351,DUNCANVILLE 14 2,1,Closed,448.84,2.46,61.95,568,YES,5,10.17,0.0007,4,3.1,0,YES,130350,NG (Natural Gas),1.031,-145.64,289.11,YES,568,Piecewise Linear
130352,DUNCANVILLE 14 3,1,Closed,58.12,22.05,20.72,118,YES,5,13.49,0.0003,4,3.233,0,YES,130352,NG (Natural Gas),1.04,-30.44,60.06,YES,118,Piecewise Linear
130353,DUNCANVILLE 14 4,1,Closed,105.24,27.49,26.64,122,YES,5,15.14,0.001,4,3.212,0,YES,130353,NG (Natural Gas),1.04,-34.94,62.1,YES,122,Piecewise Linear
130355,BARDWELL 2 2,1,Open,0,0,39.1,245.1,YES,5,7.26,0.0011,4.5,3.141,0,YES,130354,NG (Natural Gas),1.04,-79.75,124.76,YES,245.1,Piecewise Linear
130356,BARDWELL 2 3,1,Closed,98.68,8.92,52.69,114.4,YES,5,7.37,0.0014,4.5,3.203,0,YES,130356,NG (Natural Gas),1.04,-34.17,58.23,YES,114.4,Piecewise Linear
130359,FORNEY 3 3,1,Closed,312.98,-39.24,183.65,408,YES,5,6.67,0.0011,4.5,3.223,0,YES,130357,NG (Natural Gas),1.04,-122.73,207.67,YES,408,Piecewise Linear
130360,FORNEY 3 4,1,Closed,351.95,-39.24,101.43,408,YES,5,6.06,0.0026,4.5,2.399,0,YES,130357,NG (Natural Gas),1.04,-115.16,207.67,YES,408,Piecewise Linear
130361,FORNEY 3 5,1,Closed,77.69,-0.59,24.75,167,YES,5,6.74,0.0023,4.5,3.369,0,YES,130361,NG (Natural Gas),1.04,-51.81,85,YES,167,Piecewise Linear
130362,FORNEY 3 6,1,Closed,137.16,0.17,52.33,159,YES,5,6.8,0.002,4.5,3.115,0,YES,130362,NG (Natural Gas),1.04,-41.24,80.93,YES,159,Piecewise Linear
130363,FORNEY 3 7,1,Closed,137.16,-1.19,45.96,159,YES,5,6.87,0.0016,4.5,3.218,0,YES,130363,NG (Natural Gas),1.04,-49.81,80.93,YES,159,Piecewise Linear
130364,FORNEY 3 8,1,Closed,125.69,-0.44,72.75,167,YES,5,7.04,0.0005,4.5,3.16,0,YES,130364,NG (Natural Gas),1.04,-52.72,85,YES,167,Piecewise Linear
130365,FORNEY 3 9,1,Closed,137.16,-0.46,47.33,159,YES,5,6.8,0.002,4.5,2.881,0,YES,130365,NG (Natural Gas),1.04,-40.36,80.93,YES,159,Piecewise Linear
130366,FORNEY 3 10,1,Closed,119.47,-39.24,69.07,159,YES,5,6.87,0.0016,4.5,3.32,0,YES,130357,NG (Natural Gas),1.04,-43.59,80.93,YES,159,Piecewise Linear
140304,MANOR 7 2,1,Closed,44.86,-0.48,15.03,52,YES,5,15.83,0.0026,5,3.231,0,YES,140304,NG (Natural Gas),1.04,-16.14,26.47,YES,52,Piecewise Linear
140305,MANOR 7 3,1,Closed,39.13,-0.28,22.65,52,YES,5,15.92,0.0009,5,3.373,0,YES,140305,NG (Natural Gas),1.04,-13.53,26.47,YES,52,Piecewise Linear
140306,MANOR 7 4,1,Closed,31.96,-0.38,15.48,52,YES,5,15.81,0.003,5,3.222,0,YES,140306,NG (Natural Gas),1.04,-16.68,26.47,YES,52,Piecewise Linear
140307,MANOR 7 5,1,Closed,44.86,-0.4,22.59,52,YES,5,15.87,0.0018,5,3.227,0,YES,140307,NG (Natural Gas),1.04,-15.01,26.47,YES,52,Piecewise Linear
140308,MANOR 7 6,1,Closed,230.88,-78.74,102.82,404,YES,5,10.81,0.0021,4,3.52,0,YES,140303,NG (Natural Gas),1.04,-101.29,205.64,YES,404,Piecewise Linear
140309,MANOR 7 7,1,Closed,181.47,-78.74,80.03,320,YES,5,10.1,0.0021,4,3.431,0,YES,140303,NG (Natural Gas),1.04,-94.98,162.88,YES,320,Piecewise Linear
140311,AUSTIN 55 2,1,Closed,7.07,3.15,3.96,8.2,YES,5,25.94,0.01,0,1,0,YES,140311,WAT (Water),1.04,-2.62,3.15,YES,8.2,Piecewise Linear
140311,AUSTIN 55 2,2,Closed,7.59,3.38,2.52,8.8,YES,5,25.02,0.005,0,1,0,YES,140311,WAT (Water),1.04,-2.34,3.38,YES,8.8,Piecewise Linear
140313,HORSESHOE BAY 4 2,1,Closed,23.29,4.57,5,27,YES,5,21.32,0.001,0,1,0,YES,140313,WAT (Water),1.04,-9.03,10.37,YES,27,Piecewise Linear
140314,HORSESHOE BAY 4 3,1,Closed,23.29,4.57,3.61,27,YES,5,26.08,0.002,0,1,0,YES,140314,WAT (Water),1.04,-8.51,10.37,YES,27,Piecewise Linear
140320,MARBLE FALLS 7 5,1,Closed,17.08,1.44,3.25,19.8,YES,5,25.64,0.002,0,1,0,YES,140320,WAT (Water),1.04,-6.23,7.6,YES,19.8,Piecewise Linear
140321,MARBLE FALLS 7 6,1,Closed,17.08,1.44,9.12,19.8,YES,5,23.08,0.005,0,1,0,YES,140321,WAT (Water),1.04,-5.86,7.6,YES,19.8,Piecewise Linear
140327,CEDAR PARK 25 5,1,Closed,31.05,4.17,10.71,36,YES,5,23.64,0.001,0,1,0,YES,140327,WAT (Water),1.04,-12.06,13.82,YES,36,Piecewise Linear
140328,CEDAR PARK 25 6,1,Closed,31.05,2.25,6.42,36,YES,5,24.78,0.001,0,1,0,YES,140328,WAT (Water),1.04,-11.61,13.82,YES,36,Piecewise Linear
140328,CEDAR PARK 25 6,2,Closed,31.05,2.25,13.5,36,YES,5,23.51,0.001,0,1,0,YES,140328,WAT (Water),1.04,-11.08,13.82,YES,36,Piecewise Linear
140331,BASTROP 5 3,1,Open,0,0,141.54,335,YES,5,9.96,0.0024,4,2.933,0,YES,140329,NG (Natural Gas),1.039,-97.98,170.52,YES,335,Piecewise Linear
140332,BASTROP 5 4,1,Closed,117.32,3.23,66.98,136,YES,5,10.43,0.0029,4,2.777,0,YES,140332,NG (Natural Gas),1.04,-34.67,69.22,YES,136,Piecewise Linear
140333,BASTROP 5 5,1,Closed,117.32,3.1,17.25,136,YES,5,10.23,0.0006,4,3.226,0,YES,140333,NG (Natural Gas),1.04,-37.07,69.22,YES,136,Piecewise Linear
140335,HORSESHOE BAY 5 2,1,Closed,155.27,11.84,25.92,180,YES,5,6.65,0.001,4.5,2.781,0,YES,140335,NG (Natural Gas),1.04,-61.19,91.62,YES,180,Piecewise Linear
140336,HORSESHOE BAY 5 3,1,Closed,107.27,-26.7,54.02,168,YES,5,6.77,0.0004,4.5,3.39,0,YES,140334,NG (Natural Gas),1.038,-46.5,85.51,YES,168,Piecewise Linear
140337,HORSESHOE BAY 5 4,1,Closed,71.33,-26.7,18.08,168,YES,5,6.53,0.0018,4.5,3.272,0,YES,140334,NG (Natural Gas),1.038,-46.27,85.51,YES,168,Piecewise Linear
140339,DEL VALLE 10 2,1,Closed,138.88,-1.93,72.34,161,YES,5,8.21,0.0013,4.5,2.94,0,YES,140339,NG (Natural Gas),1.04,-53.88,81.95,YES,161,Piecewise Linear
140340,DEL VALLE 10 3,1,Closed,130.26,-2.72,54.56,151,YES,5,8.05,0.0024,4.5,3.056,0,YES,140340,NG (Natural Gas),1.04,-46.42,76.86,YES,151,Piecewise Linear
140341,DEL VALLE 10 4,1,Closed,40.8,-0.66,14.72,47.3,YES,5,9.76,0.0027,5,2.893,0,YES,140341,NG (Natural Gas),1.04,-11.86,24.08,YES,47.3,Piecewise Linear
140341,DEL VALLE 10 4,2,Closed,40.8,-0.66,20.33,47.3,YES,5,9.75,0.0029,5,2.932,0,YES,140341,NG (Natural Gas),1.04,-15.48,24.08,YES,47.3,Piecewise Linear
140342,DEL VALLE 10 5,1,Closed,40.8,-0.91,6.4,47.3,YES,5,9.84,0.0011,5,2.977,0,YES,140342,NG (Natural Gas),1.04,-12.64,24.08,YES,47.3,Piecewise Linear
140342,DEL VALLE 10 5,2,Closed,40.8,-0.91,8.21,47.3,YES,5,9.79,0.0022,5,2.887,0,YES,140342,NG (Natural Gas),1.04,-15.14,24.08,YES,47.3,Piecewise Linear
140343,DEL VALLE 10 6,1,Closed,40.8,-1.62,21.59,47.3,YES,5,9.78,0.0023,5,3.252,0,YES,140343,NG (Natural Gas),1.04,-14.36,24.08,YES,47.3,Piecewise Linear
140343,DEL VALLE 10 6,2,Closed,23.29,-1.62,8.3,47.3,YES,5,9.77,0.0025,5,3.294,0,YES,140343,NG (Natural Gas),1.04,-13.54,24.08,YES,47.3,Piecewise Linear
140350,AUSTIN 56 2,1,Closed,30.01,23.67,15.27,46.5,YES,5,4.98,0.0011,4.5,3.382,0,YES,140350,NG (Natural Gas),1.04,-12.33,23.67,YES,46.5,Piecewise Linear
140350,AUSTIN 56 2,2,Closed,28.47,16.8,5.05,33,YES,5,5,0.001,4.5,3.25,0,YES,140350,NG (Natural Gas),1.04,-11.45,16.8,YES,33,Piecewise Linear
140351,AUSTIN 56 3,1,Closed,23.81,14.05,11.36,27.6,YES,5,4.96,0.0027,4.5,3.207,0,YES,140351,NG (Natural Gas),1.04,-7.54,14.05,YES,27.6,Piecewise Linear
140351,AUSTIN 56 3,2,Closed,12.42,13.28,4.15,26.1,YES,5,5.01,0.001,4.5,3.436,0,YES,140351,NG (Natural Gas),1.04,-8.94,13.28,YES,26.1,Piecewise Linear
140357,BASTROP 6 5,1,Closed,148.37,-16.7,84.98,172,YES,5,6.69,0.0029,4.5,2.903,0,YES,140353,NG (Natural Gas),1.039,-50.96,87.55,YES,172,Piecewise Linear
140358,BASTROP 6 6,1,Closed,120.49,-16.7,66.92,169,YES,5,7.04,0.0009,4.5,3.463,0,YES,140353,NG (Natural Gas),1.039,-59,86.02,YES,169,Piecewise Linear
140359,BASTROP 6 7,1,Closed,145.78,3.57,83.87,169,YES,5,7.09,0.0006,4.5,3.208,0,YES,140359,NG (Natural Gas),1.04,-48.29,86.02,YES,169,Piecewise Linear
140361,DEL VALLE 11 2,1,Closed,99.39,-9.45,27.43,227,YES,5,8.44,0.0014,0,3.49,0,YES,140360,NG (Natural Gas),1.041,-60.32,115.54,YES,227,Piecewise Linear
140362,DEL VALLE 11 3,1,Closed,128.53,-2.61,38.5,149,YES,5,7.95,0.0023,0,2.861,0,YES,140362,NG (Natural Gas),1.04,-39.74,75.84,YES,149,Piecewise Linear
140363,DEL VALLE 11 4,1,Closed,128.53,-2.68,71.65,149,YES,5,7.92,0.0022,0,3.198,0,YES,140363,NG (Natural Gas),1.04,-38.09,75.84,YES,149,Piecewise Linear
140374,WEST POINT 3 3,1,Closed,37.96,4.97,17.07,44,YES,5,9.2,0.001,5,3.02,0,YES,140374,NG (Natural Gas),1.04,-11.92,22.4,YES,44,Piecewise Linear
140374,WEST POINT 3 3,2,Closed,37.96,4.97,15.94,44,YES,5,9.16,0.002,5,3.094,0,YES,140374,NG (Natural Gas),1.04,-13.44,22.4,YES,44,Piecewise Linear
140375,WEST POINT 3 4,1,Closed,34.22,3.1,20.27,44,YES,5,9.18,0.0016,5,3.224,0,YES,140375,NG (Natural Gas),1.04,-12.74,22.4,YES,44,Piecewise Linear
140375,WEST POINT 3 4,2,Closed,37.96,3.1,12.07,44,YES,5,9.21,0.0008,5,3.318,0,YES,140375,NG (Natural Gas),1.04,-13.02,22.4,YES,44,Piecewise Linear
140377,MANOR 9 2,1,Closed,25.88,12.68,11.38,30,YES,5,7.96,0.002,0,1,0,YES,140377,SUN (Solar),1.04,-8.52,12.68,YES,30,Piecewise Linear
